epoch:50, time: 998.005022(s), valid (NDCG@10: 0.07261, HR@10: 0.15491), test (NDCG@10: 0.07144, HR@10: 0.15116)
epoch:100, time: 1987.245929(s), valid (NDCG@10: 0.08774, HR@10: 0.17989), test (NDCG@10: 0.08691, HR@10: 0.17568)
epoch:150, time: 2974.046225(s), valid (NDCG@10: 0.09893, HR@10: 0.19993), test (NDCG@10: 0.09973, HR@10: 0.20313)
epoch:200, time: 3966.620501(s), valid (NDCG@10: 0.10941, HR@10: 0.21713), test (NDCG@10: 0.11575, HR@10: 0.22619)
epoch:250, time: 4973.657818(s), valid (NDCG@10: 0.11677, HR@10: 0.22902), test (NDCG@10: 0.12291, HR@10: 0.23955)
epoch:300, time: 5979.240252(s), valid (NDCG@10: 0.12576, HR@10: 0.24238), test (NDCG@10: 0.13019, HR@10: 0.24659)
epoch:350, time: 6995.574204(s), valid (NDCG@10: 0.13261, HR@10: 0.25291), test (NDCG@10: 0.13868, HR@10: 0.26013)
epoch:400, time: 8004.256939(s), valid (NDCG@10: 0.13809, HR@10: 0.26141), test (NDCG@10: 0.13865, HR@10: 0.25748)
epoch:410, time: 8204.291524(s), valid (NDCG@10: 0.13824, HR@10: 0.26059), test (NDCG@10: 0.14123, HR@10: 0.26434)
epoch:420, time: 8404.589254(s), valid (NDCG@10: 0.14075, HR@10: 0.26196), test (NDCG@10: 0.14314, HR@10: 0.26389)
epoch:430, time: 8600.400643(s), valid (NDCG@10: 0.14205, HR@10: 0.26361), test (NDCG@10: 0.14335, HR@10: 0.26755)
epoch:440, time: 8797.277044(s), valid (NDCG@10: 0.14242, HR@10: 0.26443), test (NDCG@10: 0.14487, HR@10: 0.27084)
epoch:450, time: 8994.577169(s), valid (NDCG@10: 0.14096, HR@10: 0.26361), test (NDCG@10: 0.14376, HR@10: 0.26544)
epoch:460, time: 9191.118207(s), valid (NDCG@10: 0.14219, HR@10: 0.26471), test (NDCG@10: 0.14597, HR@10: 0.27175)
epoch:470, time: 9389.399302(s), valid (NDCG@10: 0.14238, HR@10: 0.26864), test (NDCG@10: 0.14610, HR@10: 0.26956)
epoch:480, time: 9586.495594(s), valid (NDCG@10: 0.14462, HR@10: 0.26791), test (NDCG@10: 0.14734, HR@10: 0.27084)
epoch:490, time: 9782.675359(s), valid (NDCG@10: 0.14545, HR@10: 0.26846), test (NDCG@10: 0.14716, HR@10: 0.26938)
epoch:500, time: 9984.308582(s), valid (NDCG@10: 0.14476, HR@10: 0.27139), test (NDCG@10: 0.14735, HR@10: 0.27386)
