Epoch 1: Total=nan, BPR=nan, Contrastive=nan, Semantic=nan
Epoch 1: Total=35199.2392, BPR=2.6035, Contrastive=28160.4089, Semantic=7036.2015
Epoch 1: Total=35171.9103, BPR=2.7555, Contrastive=28130.1352, Semantic=7038.9945
Epoch 2: Total=32340.9048, BPR=1.5294, Contrastive=25693.8076, Semantic=6645.5136
Epoch 3: Total=31004.4662, BPR=1.4329, Contrastive=24633.3613, Semantic=6369.5913
Epoch 4: Total=30304.1291, BPR=1.4330, Contrastive=24207.7861, Semantic=6094.8272
Epoch 5: Total=29741.8156, BPR=1.4209, Contrastive=23845.8627, Semantic=5894.4436
Epoch 6: Total=29343.8340, BPR=1.4126, Contrastive=23573.9631, Semantic=5768.3644
Epoch 7: Total=28810.9640, BPR=1.3964, Contrastive=23178.1941, Semantic=5631.2741
Epoch 8: Total=28540.7126, BPR=1.3845, Contrastive=22958.4962, Semantic=5580.7280
Epoch 9: Total=28279.5867, BPR=1.3549, Contrastive=22759.6959, Semantic=5518.4271
Epoch 10: Total=28177.7539, BPR=1.3469, Contrastive=22692.1584, Semantic=5484.1344
Epoch 11: Total=27851.5490, BPR=1.3449, Contrastive=22449.4674, Semantic=5400.6172
Epoch 12: Total=27893.0151, BPR=1.3274, Contrastive=22492.3546, Semantic=5399.2077
Epoch 13: Total=27678.6073, BPR=1.3211, Contrastive=22331.8855, Semantic=5345.2693
Epoch 14: Total=27646.0761, BPR=1.3118, Contrastive=22296.1409, Semantic=5348.4865
Epoch 15: Total=27673.8676, BPR=1.2949, Contrastive=22318.5670, Semantic=5353.8632
Epoch 16: Total=27569.1724, BPR=1.2922, Contrastive=22262.7612, Semantic=5304.9704
Epoch 17: Total=27418.0646, BPR=1.2892, Contrastive=22150.3208, Semantic=5266.3005
Epoch 18: Total=27361.6383, BPR=1.2835, Contrastive=22113.8760, Semantic=5246.3190
Epoch 19: Total=27320.4159, BPR=1.2775, Contrastive=22067.3865, Semantic=5251.5865
Epoch 20: Total=27236.1827, BPR=1.2744, Contrastive=22009.7465, Semantic=5224.9914
Epoch 1: Total=35224.1843, BPR=2.5271, Contrastive=28168.1749, Semantic=7053.4569
Epoch 2: Total=32288.4270, BPR=1.4743, Contrastive=25634.4973, Semantic=6652.3999
Epoch 3: Total=31036.9950, BPR=1.4294, Contrastive=24617.4989, Semantic=6417.9850
Epoch 4: Total=30321.3576, BPR=1.4132, Contrastive=24174.8221, Semantic=6145.0379
Epoch 5: Total=29793.0013, BPR=1.3896, Contrastive=23863.1243, Semantic=5928.3980
Epoch 6: Total=29372.2333, BPR=1.3944, Contrastive=23578.4808, Semantic=5792.2626
Epoch 7: Total=28854.6819, BPR=1.3777, Contrastive=23181.8838, Semantic=5671.3197
Epoch 8: Total=28551.1459, BPR=1.3687, Contrastive=22953.4229, Semantic=5596.2490
Epoch 9: Total=28302.3229, BPR=1.3555, Contrastive=22775.1927, Semantic=5525.6646
Epoch 10: Total=28118.3776, BPR=1.3451, Contrastive=22635.3669, Semantic=5481.5507
Epoch 11: Total=27814.7312, BPR=1.3314, Contrastive=22426.6974, Semantic=5386.5817
Epoch 12: Total=27874.8914, BPR=1.3275, Contrastive=22502.1801, Semantic=5371.2576
Epoch 13: Total=27691.3887, BPR=1.3303, Contrastive=22340.7492, Semantic=5349.1772
Epoch 14: Total=27699.9744, BPR=1.3183, Contrastive=22355.5258, Semantic=5342.9928
Epoch 15: Total=27655.2277, BPR=1.3116, Contrastive=22315.2832, Semantic=5338.4901
Epoch 16: Total=27568.6006, BPR=1.3009, Contrastive=22280.8406, Semantic=5286.3109
Epoch 17: Total=27408.1500, BPR=1.3013, Contrastive=22148.6266, Semantic=5258.0684
Epoch 18: Total=27344.4201, BPR=1.2918, Contrastive=22113.2274, Semantic=5229.7414
Epoch 19: Total=27305.7173, BPR=1.2900, Contrastive=22077.1010, Semantic=5227.1611
Epoch 1: Total=35184.0946, BPR=2.6816, Contrastive=28154.4913, Semantic=7026.8961
Epoch 2: Total=32289.4678, BPR=1.5444, Contrastive=25633.2181, Semantic=6654.6521
Epoch 3: Total=31025.9412, BPR=1.4379, Contrastive=24598.5759, Semantic=6425.8477
Epoch 4: Total=30410.6109, BPR=1.4179, Contrastive=24202.1863, Semantic=6206.9263
Epoch 5: Total=29850.9322, BPR=1.3973, Contrastive=23872.0159, Semantic=5977.4315
Epoch 6: Total=29456.1972, BPR=1.3785, Contrastive=23625.1631, Semantic=5829.5608
Epoch 1: Total=35184.0781, BPR=2.7914, Contrastive=28160.0054, Semantic=7021.2560
Epoch 2: Total=32235.2799, BPR=1.5727, Contrastive=25601.9508, Semantic=6631.6999
Epoch 3: Total=30995.2562, BPR=1.4656, Contrastive=24599.8173, Semantic=6393.8914
Epoch 4: Total=30395.3989, BPR=1.4323, Contrastive=24217.5273, Semantic=6176.3572
Epoch 5: Total=29831.5421, BPR=1.4266, Contrastive=23878.8218, Semantic=5951.2049
